Walls
0,55
1,55
2,55
3,55
4,55
5,55
6,55
7,55
8,55
9,55
10,55
11,55
12,55
13,55
14,55
15,55
16,55
17,55
18,55
19,55
20,55
21,55
22,55
23,55
24,55
25,55
26,55
27,55
28,55
29,55
30,55
31,55
32,55
33,55
34,55
35,55
36,55
37,55
38,55
39,55
40,55
41,55
42,55
43,55
44,55
45,55
46,55
47,55
48,55
49,55
50,55
51,55
52,55
53,55
54,55
55,55
56,55
57,55
58,55
59,55
60,55
61,55
62,55
63,55
64,55
65,55
66,55
67,55
68,55
69,55
70,55
71,55
72,55
73,55
74,55
75,55
76,55
77,55
78,55
79,55
80,55
81,55
82,55
83,55
84,55
85,55
86,55
87,55
88,55
89,55
90,55
91,55
92,55
93,55
94,55
95,55
96,55
97,55
98,55
99,55
62,54
62,53
62,52
62,51
62,50
62,49
62,48
62,47
63,46
63,45
63,44
63,43
63,42
63,41
64,46
64,47
64,48
64,49
64,50
64,51
64,52
64,53
64,54
63,54
63,53
63,52
63,51
63,50
63,49
63,48
63,47
64,45
64,44
64,43
64,42
64,41
62,41
62,42
62,43
62,44
62,45
62,46
48,47
49,47
50,47
51,47
51,48
52,48
53,48
54,48
54,47
55,47
53,47
52,47
49,48
48,48
50,48
55,48
Player
22,54
Entities
81,54
92,54
97,54
92,54
90,54
88,54
88,54
88,54
98,54
98,54
89,54
84,54
82,54
